line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
1341;chy;Cheyenne;Cheyenne language;;alg;Algonquian;;;;Latn;;
1342;chz;Ozumacín Chinantec;Ozumacín Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1343;cia;Cia-Cia;Cia-Cia language;;poz-mun;Muna-Buton;;;;Hang,Latn;;
1344;cib;Ci Gbe;Ci Gbe language;;;;;;;;
1345;cic;Chickasaw;Chickasaw language;;nai-mus;Muskogean;;;;Latn;;
1346;cid;Chimariko;Chimariko language;;qfa-iso;isolate;;;;;;
1347;cie;Cineni;Cineni language;;;;;;;;
1348;cih;Chinali;Chinali language;;;;;;;;
1349;cik;Chitkuli Kinnauri;Chitkuli Kinnauri language;;;;;;;;
1350;cim;Cimbrian;Cimbrian language;;gmw;West Germanic;;;;Latn;;
1351;cin;Cinta Larga;Cinta Larga language;;tup;Tupian;;;;Latn;;
1352;cip;Chiapanec;Chiapanec language;;;;;;;;
1353;cir;Tiri;Tiri language;;poz-cln;New Caledonian;;;;;Tîrî,Ciri,Tinrin,Méa,Haméa;
1354;ciy;Chaima;Chaima language;;sai-car;Cariban;;;;Latn;;
1355;cja;Western Cham;Western Cham language;;cmc;Chamic;;;;Arab;;
1356;cje;Chru;Chru language;;cmc;Chamic;;;;Latn;;
1357;cjh;Upper Chehalis;Upper Chehalis language;;;;;;;;
1358;cji;Chamalal;Chamalal language;;cau-ava;Avaro-Andian;;;;Cyrl;;
1359;cjk;Chokwe;Chokwe language;;bnt;Bantu;;;;Latn;;
1360;cjm;Eastern Cham;Eastern Cham language;;cmc;Chamic;;;;Cham;;
1361;cjn;Chenapian;Chenapian language;;;;;;;;
1362;cjo;Ashéninka Pajonal;Ashéninka Pajonal language;;awd;Arawakan;;;;Latn;;
1363;cjp;Cabécar;Cabécar language;;;;;;;;
1364;cjs;Shor;Shor language;;trk;Turkic;;;;Cyrl;;
1365;cjv;Chuave;Chuave language;;;;;;;;
1366;cjy;Jin;Jin language;;zhx;Sinitic;;;;Hani;Jinyu,Jinhua,Jinese,Shanxinese,Jin Chinese,Jinyu Chinese;
1367;ckb;Central Kurdish;Central Kurdish language;;ira-wes;Western Iranian;;;;ku-Arab;Sorani;
1368;ckh;Chak;Chak language;;sit;Sino-Tibetan;;;;;;
1369;ckl;Cibak;Cibak language;;cdc-cbm;Central Chadic;;;;;Chibuk,Chibok,Chibbak,Chibbuk,Kyibaku,Kibbaku,Kibaku;
1370;ckn;Kaang Chin;Kaang Chin language;;tbq-kuk;Kukish;;;;;Kaang;
1371;cko;Anufo;Anufo language;;;;;;;;
1372;ckq;Kajakse;Kajakse language;;;;;;;;
1373;ckr;Kairak;Kairak language;;;;;;;;
1374;cks;Tayo;Tayo language;;;;;;;;
1375;ckt;Chukchi;Chukchi language;;qfa-cka;Chukotko-Kamchatkan;;;;Cyrl;;
1376;cku;Koasati;Koasati language;;nai-mus;Muskogean;;;;Latn;;
1377;ckv;Kavalan;Kavalan language;;map;Austronesian;;;;Latn;Kebalan;
1378;ckx;Caka;Caka language;;nic-bod;Bantoid;;;;Latn;;
1379;cky;Cakfem-Mushere;Cakfem-Mushere language;;;;;;;;
1380;ckz;Cakchiquel-Quiché Mixed Language;Cakchiquel-Quiché Mixed Language;;myn;Mayan;;;;;Cauque Mayan;
1381;cla;Ron;Ron language;;cdc-wst;West Chadic;;;;Latn;Bokkos,Daffo-Butura,Shagawu;
1382;clc;Chilcotin;Chilcotin language;;;;;;;;
1383;cld;Chaldean Neo-Aramaic;Chaldean Neo-Aramaic language;;sem-ara;Aramaic;;;;;;
1384;cle;Lealao Chinantec;Lealao Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1385;clh;Chilisso;Chilisso language;;;;;;;;
1386;cli;Chakali;Chakali language;;;;;;;;
1387;clj;Laitu Chin;Laitu Chin language;;tbq-kuk;Kukish;;;;;Laitu;
1388;clk;Idu;Idu language;;;;;;;Idu-Mishmi,Idu Mishmi;
1389;cll;Chala;Chala language;;;;;;;;
1390;clm;Klallam;Klallam language;;;;;;;Clallam,S'Klallam;
1391;clo;Lowland Oaxaca Chontal;Lowland Oaxaca Chontal language;;nai-tqn;Tequistlatecan;;;;Latn;Oaxaca Chontal,Oaxacan Chontal,Chontal,Huamelultec,Huamelula Chontal,Coastal Chontal;
1392;clt;Lautu Chin;Lautu Chin language;;tbq-kuk;Kukish;;;;;Lautu;
1393;clu;Caluyanun;Caluyanun language;;phi;Philippine;;;;;;
1394;clw;Chulym;Chulym language;;trk;Turkic;;;;;Chulim,Chulym-Turkic,Küerik,Chulym Tatar,Melets Tatar;
1395;cly;Eastern Highland Chatino;Eastern Highland Chatino language;;omq-cha;Chatino;;;;;;
1396;cma;Maa;Maa language;;aav-ban;Bahnaric;;;;;;
1397;cmc-pro;Proto-Chamic;Proto-Chamic language;reconstructed;cmc;Chamic;;;exceptional;Latinx;;
1398;cme;Cerma;Cerma language;;;;;;;;
1399;cmg;Classical Mongolian;Classical Mongolian language;;xgn;Mongolic;;;;Mong;;
1400;cmi;Emberá-Chamí;Emberá-Chamí language;;sai-chc;Chocoan;;;;Latn;;
1401;cml;Campalagian;Campalagian language;;;;;;;;
1402;cmm;Michigamea;Michigamea language;;sio;Siouan;;;;;;
1403;cmn;Mandarin;Mandarin language;;zhx;Sinitic;;;;Hani,Latn;Mandarin Chinese,Putonghua,Guoyu,Huayu,Guanhua,Beifanghua,Standard Chinese;
1404;cmo;Central Mnong;Central Mnong language;;;;;;;;
1405;cmr;Mro Chin;Mro Chin language;;tbq-kuk;Kukish;;;;;Mro-Khimi Chin,Mro,Mro-Khimi;
1406;cms;Messapic;Messapic language;;ine;Indo-European;;;;;Messapian;
1407;cmt;Camtho;Camtho language;;;;;;;;
1408;cna;Changthang;Changthang language;;;;;;;;
1409;cnb;Chinbon Chin;Chinbon Chin language;;tbq-kuk;Kukish;;;;;Chinbon;
1410;cnc;Côông;Côông language;;tbq-lol;Loloish;;;;;;
1411;cng;Northern Qiang;Northern Qiang language;;;;;;;;
1412;cnh;Lai;Lai language;;tbq-kuk;Kukish;;;;;Haka Chin,Haka;
1413;cni;Asháninka;Asháninka language;;awd;Arawakan;;;;Latn;Ashaninka;
1414;cnk;Khumi Chin;Khumi Chin language;;tbq-kuk;Kukish;;;;;Khumi,Khami,Nisay,Nise,Eastern Khumi,Eastern Khumi Chin;
1415;cnl;Lalana Chinantec;Lalana Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1416;cno;Con;Con language;;aav;Austro-Asiatic;;;;;;
1417;cns;Central Asmat;Central Asmat language;;;;;;;;
1418;cnt;Tepetotutla Chinantec;Tepetotutla Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1419;cnu;Chenoua;Chenoua language;;ber;Berber;;;;;Shenwa;
1420;cnw;Ngawn Chin;Ngawn Chin language;;tbq-kuk;Kukish;;;;;Ngawn;
1421;cnx;Middle Cornish;Middle Cornish language;;cel-bry;Brythonic;;;;Latn;;
1422;co;Corsican;Corsican language;;roa;Romance;;;;Latn;Corsu;
1423;coa;Cocos Islands Malay;Cocos Islands Malay language;;;;;;;;
1424;cob;Chicomuceltec;Chicomuceltec language;;myn;Mayan;;;;Latn;;
1425;coc;Cocopa;Cocopa language;;nai-yuc;Yuman-Cochimí;;;;Latn;;
1426;cod;Cocama;Cocama language;;tup;Tupian;;;;;Kokama,Kokáma,Cocama-Cocamilla,Kukama-Kukamiria,Cocamilla,Kokamíya,Cocaima;
1427;coe;Koreguaje;Koreguaje language;;sai-tuc;Tucanoan;;;;Latn;;
1428;cof;Tsafiki;Tsafiki language;;sai-bar;Barbacoan;;;;Latn;Colorado,Tsáchila;
1429;cog;Chong;Chong language;;aav;Austro-Asiatic;sortkey;;;Thai,Khmr;;
1430;coh;Chichonyi-Chidzihana-Chikauma;Chichonyi-Chidzihana-Chikauma language;;;;;;;;
1431;coj;Cochimi;Cochimi language;;nai-yuc;Yuman-Cochimí;;;;Latn;;
1432;cok;Santa Teresa Cora;Santa Teresa Cora language;;azc;Uto-Aztecan;;;;Latn;;
1433;col;Columbia-Wenatchi;Columbia-Wenatchi language;;sal;Salishan;;;;Latn;Columbia-Wenatchee,Columbia-Moses,Nxaamxcin,Wenatchi,Wenatchee;
1434;com;Comanche;Comanche language;;azc-num;Numic;;;;Latn;;
1435;con;Cofán;Cofán language;;qfa-iso;isolate;;;;;Cofan,Kofan,Kofane,A'ingae,Maku,Macu;
1436;coo;Comox;Comox language;;sal;Salishan;;;;Latn;;
1437;cop;Coptic;Coptic language;;egx;Egyptian;sortkey;autodetect;;Copt;Akhmimic,Assiutic,Bashmuric,Bohairic,Faiyumic,Fayyumic,Lycopolitan,Memphitic,Mesokemic,Oxyrhynchite,Sahidic,Subakhmimic,Thebaic;
1438;coq;Coquille;Coquille language;;ath-pco;Pacific Coast Athabaskan;;;;Latn;;
1439;cot;Caquinte;Caquinte language;;awd;Arawakan;;;;Latn;;
1440;cou;Wamey;Wamey language;;;;;;;;
1441;cov;Cao Miao;Cao Miao language;;qfa-tak;Tai-Kadai;;;;;;
1442;cow;Cowlitz;Cowlitz language;;sal;Salishan;;;;Latn;;
1443;cox;Nanti;Nanti language;;awd;Arawakan;;;;Latn;;
1444;coy;Coyaima;Coyaima language;;sai-car;Cariban;;;;Latn;;
1445;coz;Chochotec;Chochotec language;;omq-pop;Popolocan;;;;Latn;Chocho,Chocholtec;
1446;cpa;Palantla Chinantec;Palantla Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1447;cpb;Ucayali-Yurúa Ashéninka;Ucayali-Yurúa Ashéninka language;;awd;Arawakan;;;;Latn;;
1448;cpc;Ajyíninka Apurucayali;Ajyíninka Apurucayali language;;awd;Arawakan;;;;Latn;;
1449;cpe-mar;Maroon Spirit Language;Maroon Spirit Language;;crp;creole or pidgin;;;exceptional;Latn;Jamaican Maroon Spirit Possession Language;
1450;cpe-spp;Samoan Plantation Pidgin;Samoan Plantation Pidgin language;;crp;creole or pidgin;;;exceptional;Latn;;
1451;cpg;Cappadocian Greek;Cappadocian Greek language;;grk;Hellenic;sortkey;;;polytonic,fa-Arab;Cappadocian;
1452;cpi;Chinese Pidgin English;Chinese Pidgin English language;;crp;creole or pidgin;;;;Latn;;
1453;cpn;Cherepon;Cherepon language;;;;;;;;
1454;cpo;Kpee;Kpee language;;dmn;Mande;;;;;Kpeego,Kpeen,Numu;
1455;cps;Capiznon;Capiznon language;;phi;Philippine;;;;;;
1456;cpu;Pichis Ashéninka;Pichis Ashéninka language;;awd;Arawakan;;;;Latn;;
1457;cpx;Puxian;Puxian language;;zhx;Sinitic;;;;Hani;Pu-Xian,Puxian Min,Pu-Xian Min,Pu Xian,Pu Xian Chinese,Putian,Xinghua,Hinghwa;
1458;cpy;South Ucayali Ashéninka;South Ucayali Ashéninka language;;awd;Arawakan;;;;Latn;;
1459;cqd;Chuanqiandian Cluster Miao;Chuanqiandian Cluster Miao language;;hmn;Hmong;;;;Latn,Plrd;;
1460;cr;Cree;Cree language;;alg;Algonquian;;;;Cans,Latn;;
1461;cra;Chara;Chara language;;;;;;;;
1462;crb;Island Carib;Island Carib language;;awd;Arawakan;;;;Latn;;
1463;crc;Lonwolwol;Lonwolwol language;;poz-oce;Oceanic;;;;Latn;;
1464;crd;Coeur d'Alene;Coeur d'Alene language;;;;;;Latn;;
1465;crf;Caramanta;Caramanta language;;sai-chc;Chocoan;;;;Latn;;
1466;crg;Michif;Michif language;;qfa-mix;mixed;;;;Latn;;
1467;crh;Crimean Tatar;Crimean Tatar language;;trk;Turkic;;;;Latn,Cyrl;;
1468;cri;Sãotomense;Sãotomense language;;;;;;Latn;Forro,São Tomense;
1469;crj;Southern East Cree;Southern East Cree language;;alg;Algonquian;;;;Cans;;
1470;crk;Plains Cree;Plains Cree language;;alg;Algonquian;;;;Cans,Latn;;
1471;crl;Northern East Cree;Northern East Cree language;;alg;Algonquian;;;;Cans;;
1472;crm;Moose Cree;Moose Cree language;;alg;Algonquian;;;;Cans;;
1473;crn;Cora;Cora language;;azc;Uto-Aztecan;;;;Latn;;
1474;cro;Crow;Crow language;;sio;Siouan;;;;Latn;Apsalooke;
1475;crp-gep;Greenlandic Pidgin;Greenlandic Pidgin language;;crp;creole or pidgin;;;exceptional;Latn;West Greenlandic Pidgin,Greenlandic Eskimo Pidgin;
1476;crp-rsn;Russenorsk;Russenorsk language;;crp;creole or pidgin;;;exceptional;Cyrl,Latn;;
1477;crp-tpr;Taimyr Pidgin Russian;Taimyr Pidgin Russian language;;crp;creole or pidgin;;;exceptional;Cyrl;;
1478;crq;Iyo'wujwa Chorote;Iyo'wujwa Chorote language;;sai-mtc;Matacoan;;;;Latn;;
1479;crr;Carolina Algonquian;Carolina Algonquian language;;alg;Algonquian;;;;Latn;;
1480;crs;Seychellois Creole;Seychellois Creole language;;;;;;Latn;;
1481;crt;Iyojwa'ja Chorote;Iyojwa'ja Chorote language;;sai-mtc;Matacoan;;;;Latn;;
1482;crv;Chaura;Chaura language;;aav;Austro-Asiatic;;;;;Tutet;
1483;crw;Chrau;Chrau language;;aav-ban;Bahnaric;;;;;;
1484;crx;Carrier;Carrier language;;ath-nor;North Athabaskan;;;;Latn;;
1485;cry;Cori;Cori language;;;;;;;;
1486;crz;Cruzeño;Cruzeño language;;nai-chu;Chumashan;;;;Latn;;
1487;cs;Czech;Czech language;;zlw;West Slavic;sortkey;;;Latn;;
1488;csa;Chiltepec Chinantec;Chiltepec Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1489;csb;Kashubian;Kashubian language;;zlw;West Slavic;;;;Latn;;
1490;csc;Catalan Sign Language;Catalan Sign Language;;sgn;sign;;;;;;
1491;csd;Chiangmai Sign Language;Chiangmai Sign Language;;sgn;sign;;;;;;
1492;cse;Czech Sign Language;Czech Sign Language;;sgn;sign;;;;;;
1493;csf;Cuban Sign Language;Cuban Sign Language;;sgn;sign;;;;;;
1494;csg;Chilean Sign Language;Chilean Sign Language;;sgn;sign;;;;;;
1495;csh;Asho Chin;Asho Chin language;;tbq-kuk;Kukish;;;;;Asho;
1496;csi;Coast Miwok;Coast Miwok language;;nai-you;Yok-Utian;;;;Latn;;
1497;csj;Songlai Chin;Songlai Chin language;;tbq-kuk;Kukish;;;;;Songlai;
1498;csk;Jola-Kasa;Jola-Kasa language;;;;;;;;
1499;csl;Chinese Sign Language;Chinese Sign Language;;sgn;sign;;;;;;
1500;csm;Central Sierra Miwok;Central Sierra Miwok language;;nai-you;Yok-Utian;;;;Latn;;
1501;csn;Colombian Sign Language;Colombian Sign Language;;sgn;sign;;;;;;
1502;cso;Sochiapam Chinantec;Sochiapam Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1503;csq;Croatian Sign Language;Croatian Sign Language;;sgn;sign;;;;;;
1504;csr;Costa Rican Sign Language;Costa Rican Sign Language;;sgn;sign;;;;;;
1505;css;Southern Ohlone;Southern Ohlone language;;nai-you;Yok-Utian;;;;Latn;;
1506;cst;Northern Ohlone;Northern Ohlone language;;nai-you;Yok-Utian;;;;Latn;;
1507;csu-sar-pro;Proto-Sara;Proto-Sara language;reconstructed;csu-sar;Sara;;;exceptional;Latinx;;
1508;csv;Sumtu Chin;Sumtu Chin language;;tbq-kuk;Kukish;;;;;Sumtu;
1509;csw;Swampy Cree;Swampy Cree language;;alg;Algonquian;;;;Latn;;
1510;csy;Siyin Chin;Siyin Chin language;;tbq-kuk;Kukish;;;;;Siyin;
1511;csz;Coos;Coos language;;;;;;Latn;Hanis,Hanis Coos;
1512;cta;Tataltepec Chatino;Tataltepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1513;ctc;Chetco-Tolowa;Chetco-Tolowa language;;ath-pco;Pacific Coast Athabaskan;;;;Latn;Chetco,Siletz Dee-ni,Deeni,Tututni,Siletz;
1514;ctd;Tedim Chin;Tedim Chin language;;tbq-kuk;Kukish;;;;Latn,Pauc;Tedim,Tiddim,Sukte;
1515;cte;Tepinapa Chinantec;Tepinapa Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1516;ctg;Chittagonian;Chittagonian language;;inc;Indo-Aryan;;;;Beng;;
1517;cth;Thaiphum Chin;Thaiphum Chin language;;tbq-kuk;Kukish;;;;;Thaiphum;
1518;ctl;Tlacoatzintepec Chinantec;Tlacoatzintepec Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1519;ctm;Chitimacha;Chitimacha language;;qfa-iso;isolate;;;;Latn;;
1520;ctn;Chhintange;Chhintange language;;;;;;;;
1521;cto;Emberá-Catío;Emberá-Catío language;;sai-chc;Chocoan;;;;Latn;;
1522;ctp;Western Highland Chatino;Western Highland Chatino language;;omq-cha;Chatino;;;;Latn;;
1523;cts;Northern Catanduanes Bicolano;Northern Catanduanes Bicolano language;;phi;Philippine;;;;Latn;;
1524;ctt;Wayanad Chetti;Wayanad Chetti language;;dra;Dravidian;;;;;Chetti;
1525;ctu;Chol;Chol language;;myn;Mayan;;;;Latn;;
1526;ctz;Zacatepec Chatino;Zacatepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1527;cu;Old Church Slavonic;Old Church Slavonic language;;zls;South Slavic;sortkey;autodetect;;Cyrs,Glag;Old Church Slavic;
1528;cua;Cua;Cua language;;aav-ban;Bahnaric;;;;;;
1529;cub;Cubeo;Cubeo language;;sai-tuc;Tucanoan;;;;Latn;Cuveo,Kubéo,Kubeo,Kubéu,Kubeu,Cobewa,Cobéua,Cobeua,Kubéwa,Kubewa,Kobéua,Kobeua,Kobewa,Pamiwa;
1530;cuc;Usila Chinantec;Usila Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1531;cug;Cung;Cung language;;nic-bod;Bantoid;;;;Latn;Chung,Chungmboko,Chung-Mboko,Mboko;
1532;cuh;Chuka;Chuka language;;bnt;Bantu;;;;Latn;;
1533;cui;Cuiba;Cuiba language;;sai-guh;Guahiban;;;;Latn;;
1534;cuj;Mashco Piro;Mashco Piro language;;awd;Arawakan;;;;Latn;;
1535;cuk;Kuna;Kuna language;;cba;Chibchan;;;;Latn;;
1536;cul;Culina;Culina language;;auf;Arauan;;;;Latn;Kulina,Kulína,Kulyna,Curina,Corina,Korina,Culina-Madijá,Madijá,Madija,Madiha,Madihá;
1537;cuo;Cumanagoto;Cumanagoto language;;sai-cpc;Chapacuran;;;;Latn;Cumanogota,Cumana,Cumaná,Kumana,Kumaná;
1538;cup;Cupeño;Cupeño language;;azc-cup;Cupan;;;;Latn;;
1539;cuq;Cun;Cun language;;qfa-tak;Tai-Kadai;;;;;;
1540;cur;Chhulung;Chhulung language;;sit;Sino-Tibetan;;;;;;
1541;cus-pro;Proto-Cushitic;Proto-Cushitic language;reconstructed;afa;Afro-Asiatic;;;exceptional;Latinx;;
1542;cut;Teutila Cuicatec;Teutila Cuicatec language;;omq-mix;Mixtecan;;;;Latn;;
1543;cuu;Tai Ya;Tai Ya language;;qfa-tak;Tai-Kadai;;;;Latn;;
1544;cuv;Cuvok;Cuvok language;;cdc-cbm;Central Chadic;;;;Latn;;
1545;cuw;Chukwa;Chukwa language;;sit;Sino-Tibetan;;;;;;
1546;cux;Tepeuxila Cuicatec;Tepeuxila Cuicatec language;;omq-mix;Mixtecan;;;;Latn;;
1547;cv;Chuvash;Chuvash language;;trk-ogr;Oghur;;;;Cyrl;;
1548;cvg;Chug;Chug language;;;;;;;;
1549;cvn;Valle Nacional Chinantec;Valle Nacional Chinantec language;;omq-chi;Chinantecan;;;;Latn;;
1550;cwa;Kabwa;Kabwa language;;bnt;Bantu;;;;Latn;;
1551;cwb;Maindo;Maindo language;;bnt;Bantu;;;;Latn;;
1552;cwd;Woods Cree;Woods Cree language;;alg;Algonquian;;;;Latn;;
1553;cwe;Kwere;Kwere language;;bnt;Bantu;;;;Latn;;
1554;cwg;Chewong;Chewong language;;aav;Austro-Asiatic;;;;Latn;Cheq Wong,Cheq-Wong,Ceq Wong;
1555;cwt;Kuwaataay;Kuwaataay language;;alv;Atlantic-Congo;;;;Latn;;
1556;cy;Welsh;Welsh language;;cel-bry;Brythonic;sortkey;;;Latn;;standard characters
1557;cya;Nopala Chatino;Nopala Chatino language;;omq-cha;Chatino;;;;Latn;;
1558;cyb;Cayubaba;Cayubaba language;;qfa-iso;isolate;;;;Latn;Cayuvava,Cayuwaba;
1559;cyo;Cuyunon;Cuyunon language;;phi;Philippine;;;;Latn;;
1560;czh;Huizhou;Huizhou language;;;;;;;Huizhou Chinese;
1561;czk;Knaanic;Knaanic language;;zlw;West Slavic;;;;Hebr;;
1562;czn;Zenzontepec Chatino;Zenzontepec Chatino language;;omq-cha;Chatino;;;;Latn;;
1563;czo;Min Zhong;Min Zhong language;;zhx;Sinitic;;;;;Min Zhong Chinese;
1564;czt;Zotung Chin;Zotung Chin language;;tbq-kuk;Kukish;;;;;Zotung;
1565;da;Danish;Danish language;;gmq;North Germanic;;;;Latn;;
1566;daa;Dangaléat;Dangaléat language;;cdc-est;East Chadic;;;;Latn;Dangaleat,Dangla,Danal,Dangal;
1567;dac;Dambi;Dambi language;;poz-ocw;Western Oceanic;;;;Latn;;
1568;dad;Marik;Marik language;;poz-ocw;Western Oceanic;;;;Latn;;
1569;dae;Duupa;Duupa language;;;;;;;;
1570;dag;Dagbani;Dagbani language;;nic-gur;Gur;;;;Latn;;
1571;dah;Gwahatike;Gwahatike language;;ngf-fin;Finisterre;;;;Latn;;
1572;dai;Day;Day language;;;;;;;;
1573;daj;Dar Fur Daju;Dar Fur Daju language;;sdv;Eastern Sudanic;;;;;;
1574;dak;Dakota;Dakota language;;sio;Siouan;;;;Latn;;
1575;dal;Dahalo;Dahalo language;;cus;Cushitic;;;;;;
1576;dam;Damakawa;Damakawa language;;;;;;;;
1577;dao;Daai Chin;Daai Chin language;;tbq-kuk;Kukish;;;;;;
1578;daq;Dandami Maria;Dandami Maria language;;dra;Dravidian;;;;;Bison-Horn Maria,Madia,Madiya,Maria (India),Maria;
1579;dar;Dargwa;Dargwa language;;cau-drg;Dargwa;;;;Cyrl;Dargin;
1580;das;Daho-Doo;Daho-Doo language;;;;;;;;
1581;dau;Dar Sila Daju;Dar Sila Daju language;;sdv;Eastern Sudanic;;;;;;
1582;dav;Taita;Taita language;;;;;;;;
1583;daw;Davawenyo;Davawenyo language;;phi;Philippine;;;;;;
1584;dax;Dayi;Dayi language;;aus-yol;Yolngu;;;;Latn;;
1585;daz;Dao;Dao language;;;;;;;;
1586;dba;Bangi Me;Bangi Me language;;;;;;;;
1587;dbb;Deno;Deno language;;cdc;Chadic;;;;Latn;;
1588;dbd;Dadiya;Dadiya language;;;;;;;;
1589;dbe;Dabe;Dabe language;;;;;;;;
1590;dbf;Edopi;Edopi language;;paa-lkp;Lakes Plain;;;;;Elopi;
1591;dbg;Dogul Dom;Dogul Dom language;;qfa-dgn;Dogon;;;;Latn;Dogul Dom Dogon;
1592;dbi;Doka;Doka language;;;;;;;;
1593;dbj;Ida'an;Ida'an language;;poz-san;Sabahan;;;;Latn;;
1594;dbl;Dyirbal;Dyirbal language;;aus-dyb;Dyirbalic;;;;Latn;;
1595;dbm;Duguri;Duguri language;;;;;;;;
1596;dbn;Duriankere;Duriankere language;;;;;;;;
1597;dbo;Dulbu;Dulbu language;;;;;;;;
1598;dbp;Duwai;Duwai language;;;;;;;;
1599;dbq;Daba;Daba language;;cdc-cbm;Central Chadic;;;;Latn;;
1600;dbr;Dabarre;Dabarre language;;cus;Cushitic;;;;;;
1601;dbt;Ben Tey;Ben Tey language;;qfa-dgn;Dogon;;;;Latn;Ben Tey Dogon;
1602;dbu;Bondum Dom Dogon;Bondum Dom Dogon language;;qfa-dgn;Dogon;;;;Latn;;
1603;dbv;Dungu;Dungu language;;;;;;;;
1604;dbw;Bankan Tey Dogon;Bankan Tey Dogon language;;qfa-dgn;Dogon;;;;Latn;;
1605;dby;Dibiyaso;Dibiyaso language;;;;;;;;
1606;dcc;Deccan;Deccan language;;inc;Indo-Aryan;;;;ur-Arab;Dakhini,Dakkhani,Deccani;
1607;dcr;Negerhollands;Negerhollands language;;crp;creole or pidgin;;;;Latn;;
1608;dda;Dadi Dadi;Dadi Dadi language;;aus-pam;Pama-Nyungan;;;;;Dardi Dardi,Tati Tati,Dadi-Dadi,Dardi-Dardi,Tati-Tati;
1609;ddd;Dongotono;Dongotono language;;sdv;Eastern Sudanic;;;;;;
1610;dde;Doondo;Doondo language;;;;;;;;
1611;ddg;Fataluku;Fataluku language;;;;;;;;
1612;ddi;Diodio;Diodio language;;poz-ocw;Western Oceanic;;;;;;
1613;ddj;Jaru;Jaru language;;;;;;;;
1614;ddn;Dendi;Dendi language;;son;Songhai;;;;Latn;Dandawa,Dendi (West Africa),Dendi (Benin);
1615;ddo;Tsez;Tsez language;;cau-tsz;Tsezian;;;;Cyrl;Tsezi,Dido;
1616;ddr;Dhudhuroa;Dhudhuroa language;;aus-pam;Pama-Nyungan;;;;Latn;Yaitmathang;
1617;dds;Donno So Dogon;Donno So Dogon language;;qfa-dgn;Dogon;;;;Latn;;
1618;ddw;Dawera-Daweloor;Dawera-Daweloor language;;;;;;;;
1619;de;German;German language;;gmw;West Germanic;sortkey;;;Latn,Latf;High German,New High German,Deutsch;
1620;dec;Dagik;Dagik language;;;;;;;;
1621;ded;Dedua;Dedua language;;;;;;;;
1622;dee;Dewoin;Dewoin language;;;;;;;;
1623;def;Dezfuli;Dezfuli language;;ira-wes;Western Iranian;;;;;Dezhfili,Dizfuli;
1624;deg;Degema;Degema language;;alv-edo;Edoid;;;;Latn;;
1625;deh;Dehwari;Dehwari language;;;;;;;;
1626;dei;Demisa;Demisa language;;;;;;;;
1627;dek;Dek;Dek language;;;;;;;;
1628;dem;Dem;Dem language;;;;;;;;
1629;den;Slavey;Slavey language;;ath-nor;North Athabaskan;;;;Latn;Slave,Slavé;
1630;dep;Pidgin Delaware;Pidgin Delaware language;;crp;creole or pidgin;;;;Latn;;
1631;der;Deori;Deori language;;;;;;;;
1632;des;Desano;Desano language;;sai-tuc;Tucanoan;;;;Latn;;
1633;dev;Domung;Domung language;;ngf-fin;Finisterre;;;;Latn;;
1634;dez;Dengese;Dengese language;;;;;;;;
1635;dga;Southern Dagaare;Southern Dagaare language;;nic-gur;Gur;;;;Latn;;
1636;dgb;Bunoge;Bunoge language;;qfa-dgn;Dogon;;;;Latn;Bunoge Dogon;
1637;dgc;Casiguran Dumagat Agta;Casiguran Dumagat Agta language;;phi;Philippine;;;;Latn;;
1638;dgd;Dagaari Dioula;Dagaari Dioula language;;nic-gur;Gur;;;;Latn;;
1639;dge;Degenan;Degenan language;;ngf-fin;Finisterre;;;;Latn;;
1640;dgg;Doga;Doga language;;poz-ocw;Western Oceanic;;;;;;
1641;dgh;Dghwede;Dghwede language;;;;;;;;
1642;dgi;Northern Dagara;Northern Dagara language;;nic-gur;Gur;;;;Latn;;
1643;dgk;Dagba;Dagba language;;csu-sar;Sara;;;;;;
1644;dgn;Dagoman;Dagoman language;;;;;;;;
1645;dgo;Hindi Dogri;Hindi Dogri language;;;;;;;;
1646;dgr;Dogrib;Dogrib language;;ath-nor;North Athabaskan;;;;Latn;Tłicho,Tlinchon;
1647;dgs;Dogoso;Dogoso language;;;;;;;;
1648;dgt;Ntra'ngith;Ntra'ngith language;;aus-pam;Pama-Nyungan;;;;;Ndra'ngith;
1649;dgu;Degaru;Degaru language;;;;;;;;
1650;dgw;Daungwurrung;Daungwurrung language;;aus-pam;Pama-Nyungan;;;;;Taungurong,Dhagung-wurrung,Thagungwurrung;
1651;dgx;Doghoro;Doghoro language;;;;;;;;
1652;dgz;Daga;Daga language;;ngf;Trans-New Guinea;;;;Latn;;
