line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
64;acq;Ta'izzi-Adeni Arabic;Ta'izzi-Adeni Arabic language;;sem-arb;Arabic;;autodetect;;Arab;Southern Yemeni Arabic;
65;acr;Achi;Achi language;;myn;Mayan;;;;Latn;Achí,Achi Maya,Cubulco Achi,Cubulco Achí,Cubulco Achi';
66;acs;Acroá;Acroá language;;sai-jee;Jê;;;;Latn;Akroá,Coroá,Acroa;
67;acu;Achuar;Achuar language;;sai-jiv;Jivaroan;;;;Latn;Achuar-Shiwiar;
68;acv;Achumawi;Achumawi language;;nai-pal;Palaihnihan;;;;Latn;;
69;acw;Hijazi Arabic;Hijazi Arabic language;;sem-arb;Arabic;;autodetect;;Arab;Hejazi Arabic,West Arabian Arabic;
70;acx;Omani Arabic;Omani Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
71;acy;Cypriot Arabic;Cypriot Arabic language;;sem-arb;Arabic;;;;Arab;;
72;acz;Acheron;Acheron language;;alv;Atlantic-Congo;;;;Latn;Asheron;
73;ada;Adangme;Adangme language;;alv-kwa;Kwa;;;;Latn;Dangme;
74;adb;Adabe;Adabe language;;;;;;Latn;;
75;add;Dzodinka;Dzodinka language;;nic-bod;Bantoid;;;;Latn;;
76;ade;Adele;Adele language;;alv-kwa;Kwa;;;;Latn;;
77;adf;Dhofari Arabic;Dhofari Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
78;adg;Andegerebinha;Andegerebinha language;;aus-pam;Pama-Nyungan;;;;Latn;;
79;adh;Adhola;Adhola language;;sdv;Eastern Sudanic;;;;Latn;;
80;adi;Adi;Adi language;;sit-tan;Tani;;;;Latn;Abor,Ashing,Minyong,Mising,Padam,Panggi,Pasi,Shimong,Ajukru;
81;adj;Adioukrou;Adioukrou language;;alv-kwa;Kwa;;;;Latn;Adjukru,Adyoukrou,Adyukru,Ajukru;
82;adl;Galo;Galo language;;sit-tan;Tani;;;;Latn;Gallong;
83;adn;Adang;Adang language;;qfa-tap;Timor-Alor-Pantar;;;;Latn;;
84;ado;Abu;Abu language;;paa-ram;Ramu;;;;Latn;Adjora;
85;adp;Adap;Adap language;;tbq;Tibeto-Burman;;;;Tibt;;
86;adq;Adangbe;Adangbe language;;alv-kwa;Kwa;;;;Latn;Agotime;
87;adr;Adonara;Adonara language;;plf;Central Malayo-Polynesian;;;;Latn;;
